project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
IoT Smart Home Automation Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,1.38,9,1,1720456,6.74,8,EdTech,Incremental,MVP,PG,3423,37,6,23.09,Low
AI Chatbot for Customer Service,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,3.91,10,4,6663623,0.19,10,FinTech,Disruptive,Idea,UG,974,24,3,13.72,Low
Fitness Tracking and Recommendation App,"An event management platform that automates planning, scheduling, and coordination of events.",2,4.1,4,5,9845041,14.44,3,HealthTech,Incremental,Idea,PG,741,23,6,24.05,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,4.92,6,8,8012900,13.18,5,AI,Disruptive,MVP,PhD,264,12,10,37.08,Low
Personalized Nutrition Recommendation System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,2.57,1,5,9305925,5.04,9,HealthTech,Disruptive,MVP,UG,3657,57,4,15.95,Low
AI-Powered Fraud Detection System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,0.53,9,1,2809999,10.96,9,AI,Disruptive,MVP,PG,2050,50,8,30.19,Low
Smart Healthcare Monitoring Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,3,0.66,8,6,1244217,8.92,6,FinTech,Incremental,Prototype,PhD,4575,17,10,36.32,Low
Blockchain-Powered Digital Payments,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,2.39,4,10,4519192,19.23,9,AgriTech,Disruptive,MVP,PhD,1112,89,8,33.83,Low
Online Mental Health Support Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,4.39,10,7,9171105,23.74,5,AI,Incremental,Prototype,PG,3158,69,10,41.23,Medium
Cloud-Based Business Intelligence Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,4.4,6,7,3359887,11.41,10,HealthTech,Disruptive,Prototype,PG,718,77,8,31.72,Low
AI-Based Crop Monitoring System,"An event management platform that automates planning, scheduling, and coordination of events.",6,0.09,8,7,9861984,13.97,9,HealthTech,Incremental,Idea,PG,2977,21,9,34.71,Low
Online Mental Health Support Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,1.92,9,10,451049,11.13,7,EdTech,Disruptive,Idea,UG,2776,100,10,39.93,Low
Sustainable Agriculture Analytics Tool,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.85,10,3,4671108,23.17,4,AI,Disruptive,Idea,PhD,3850,48,4,21.49,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,1.88,1,6,8152467,16.69,10,E-commerce,Incremental,Prototype,PhD,4313,53,9,33.5,Low
AI Resume Screening Tool,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,2.27,9,5,4884873,16.99,7,E-commerce,Disruptive,Idea,UG,3907,92,10,39.44,Low
Virtual Reality Learning Environment,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,1.27,1,5,7747511,9.58,4,E-commerce,Disruptive,Idea,PhD,1904,22,9,31.16,Low
AI Resume Screening Tool,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,4.26,5,5,8171982,12.02,6,E-commerce,Disruptive,Idea,PG,3725,17,6,23.74,Low
Online Mental Health Support Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,3.64,5,9,8863118,23.01,3,EdTech,Incremental,Idea,PhD,3536,80,8,34.4,Low
Sustainable Agriculture Analytics Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,4,3.63,5,8,2444807,15.06,3,E-commerce,Disruptive,MVP,PG,3711,17,3,16.25,Low
Digital Marketplace for Local Businesses,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,4,3.94,7,9,4085739,5.53,1,AgriTech,Incremental,MVP,UG,3585,74,2,13.39,Low
Smart Traffic Management System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,1.72,2,1,3302452,13.78,9,FinTech,Disruptive,MVP,PhD,114,82,6,23.3,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,4.39,8,10,2288209,5.05,5,EdTech,Incremental,Idea,UG,4106,1,10,36.43,Low
Online Mental Health Support Platform,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",2,2.09,4,5,7444779,2.9,3,FinTech,Incremental,Idea,PG,1758,21,7,24.7,Low
AI Chatbot for Customer Service,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,0.59,7,6,8705933,6.41,9,AI,Disruptive,MVP,UG,1341,12,6,23.42,Low
Fitness Tracking and Recommendation App,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,0.36,6,4,321087,13.74,8,FinTech,Incremental,Prototype,UG,3079,58,9,33.91,Low
Smart Traffic Management System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,1.4,7,4,2035774,2.53,8,AgriTech,Incremental,MVP,PG,2589,87,7,26.55,Low
AI-Based Crop Monitoring System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,4.21,8,10,2067949,14.06,8,EdTech,Incremental,Idea,UG,1384,93,2,16.07,Low
AI Chatbot for Customer Service,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,2.1,10,10,7644988,21.33,5,AI,Incremental,Prototype,PhD,2540,96,3,21.19,Low
Smart Traffic Management System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,1.12,7,7,3209203,23.76,2,FinTech,Disruptive,Prototype,UG,3381,71,4,22.37,Low
Online Event Management Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,5,4.65,7,10,7874221,21.49,3,HealthTech,Incremental,Idea,PhD,2842,67,1,13.74,Low
Fitness Tracking and Recommendation App,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,4.45,10,3,588195,11.41,3,E-commerce,Incremental,MVP,UG,2963,24,9,33.66,Low
Fitness Tracking and Recommendation App,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,1.55,7,7,3661307,15.04,3,AgriTech,Disruptive,Prototype,PhD,48,29,6,25.79,Low
Smart Traffic Management System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,2.46,3,10,5964372,11.87,1,EdTech,Incremental,Prototype,UG,175,37,9,34.01,Low
AI-Based Crop Monitoring System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,3.77,9,4,9666146,4.34,7,FinTech,Incremental,MVP,PG,4120,93,3,15.63,Low
AI Chatbot for Customer Service,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,3.87,10,5,9441153,6.85,4,E-commerce,Incremental,Prototype,PG,982,78,1,10.43,Low
Blockchain-Powered Digital Payments,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,3.23,9,2,6064340,22.29,10,EdTech,Incremental,MVP,UG,163,40,6,26.56,Low
Fitness Tracking and Recommendation App,A fitness application that tracks user activity and provides personalized workout and health recommendations.,3,2.65,3,2,4542834,3.84,9,AI,Disruptive,Idea,PhD,1700,56,7,24.39,Low
Smart Healthcare Monitoring Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,2.69,9,4,7825880,16.69,7,HealthTech,Disruptive,MVP,PG,4576,98,9,36.2,Low
Cloud-Based Business Intelligence Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,4.79,1,8,2538260,20.6,6,EdTech,Incremental,Prototype,PhD,592,87,2,14.56,Low
Autonomous Delivery Drone System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,4.46,5,3,5383978,23.19,7,AgriTech,Incremental,Prototype,PG,2253,27,10,37.58,Low
Digital Marketplace for Local Businesses,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,0.66,3,4,4511865,19.92,7,AI,Disruptive,Idea,PG,2015,76,4,19.6,Low
Cloud-Based Business Intelligence Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,4,5.0,8,6,1382506,3.08,9,AgriTech,Incremental,Idea,PG,2896,57,1,8.96,Low
AI Chatbot for Customer Service,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,4.75,10,4,3380879,5.73,9,E-commerce,Incremental,Idea,PhD,4802,58,9,33.51,Low
Personalized Nutrition Recommendation System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,2.36,5,10,6847760,0.28,7,EdTech,Disruptive,Idea,UG,1061,4,4,16.64,Low
Sustainable Agriculture Analytics Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,3.19,10,7,9775167,9.29,6,FinTech,Incremental,Idea,PhD,3891,87,2,14.7,Low
AI Resume Screening Tool,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,5,4.67,9,7,5987801,7.91,6,EdTech,Incremental,Idea,PG,1178,20,8,30.78,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,6,1.63,2,6,5269240,12.44,7,AI,Incremental,MVP,PhD,2588,5,3,13.99,Low
Smart Waste Management Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.02,2,6,2072470,3.31,2,FinTech,Disruptive,Idea,PG,4475,38,6,21.82,Low
Smart Healthcare Monitoring Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.21,2,9,1159463,5.76,4,AgriTech,Incremental,MVP,PG,3013,18,5,19.81,Low
Sustainable Agriculture Analytics Tool,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,2,1.62,5,7,1160902,4.12,4,HealthTech,Incremental,Idea,PhD,1976,46,8,29.34,Low
AI-Based Crop Monitoring System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,2.99,9,4,1914100,6.56,4,AgriTech,Incremental,Prototype,PG,656,33,9,32.87,Low
Virtual Reality Learning Environment,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,4.51,2,4,2393856,16.21,5,EdTech,Disruptive,Idea,PhD,4911,8,6,23.2,Low
Automated Financial Advisory System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,3.7,3,6,9158277,13.81,6,EdTech,Disruptive,Idea,UG,3584,22,5,20.9,Low
Smart Waste Management Solution,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,3.5,10,4,4759394,0.93,1,E-commerce,Incremental,Prototype,UG,2708,100,9,33.39,Low
Autonomous Delivery Drone System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,4.08,4,10,9143151,18.92,8,E-commerce,Incremental,Prototype,UG,4019,47,1,11.92,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,4.5,1,3,7560322,15.39,5,AI,Incremental,Prototype,PhD,3380,60,9,32.48,Low
Online Mental Health Support Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,6,0.68,3,2,6790170,14.41,7,AgriTech,Incremental,MVP,PhD,3658,59,9,32.56,Low
Virtual Reality Learning Environment,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,0.52,8,10,3224242,3.58,2,AI,Disruptive,Prototype,UG,2806,21,8,30.54,Low
Virtual Reality Learning Environment,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,0.24,10,8,5487438,23.6,8,AgriTech,Disruptive,Prototype,UG,3730,88,8,35.88,Low
Personalized Nutrition Recommendation System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,4.7,7,1,3264770,17.83,5,E-commerce,Disruptive,Prototype,PhD,2811,75,7,28.47,Low
Personalized Nutrition Recommendation System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,3,4.04,3,8,7148799,4.34,3,EdTech,Incremental,Prototype,PhD,4311,67,5,20.51,Low
AI Resume Screening Tool,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,3.39,9,7,979406,1.72,8,E-commerce,Incremental,MVP,UG,506,47,6,24.08,Low
Smart Waste Management Solution,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,3.33,7,8,3204992,18.46,7,E-commerce,Incremental,Idea,PhD,1066,28,2,14.75,Low
Smart Healthcare Monitoring Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",2,1.91,3,1,1898414,8.23,4,HealthTech,Incremental,MVP,UG,4303,46,1,6.77,Low
Virtual Reality Learning Environment,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,2,1.95,3,8,36467,17.36,5,HealthTech,Disruptive,Idea,PhD,2564,22,4,19.21,Low
AI-Based Crop Monitoring System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,2.1,5,3,8259058,24.9,4,E-commerce,Incremental,MVP,UG,1593,18,10,37.74,Low
Digital Marketplace for Local Businesses,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,0.49,7,4,9529353,10.48,10,FinTech,Incremental,Prototype,UG,510,80,6,25.0,Low
Autonomous Delivery Drone System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,0.85,2,10,4548441,5.49,6,FinTech,Disruptive,Prototype,PG,2267,79,7,27.28,Low
Online Event Management Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,0.69,2,10,6379900,9.69,3,AgriTech,Incremental,MVP,UG,3744,81,4,19.16,Low
AI Resume Screening Tool,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,4.62,8,4,5837474,23.6,6,FinTech,Incremental,MVP,PhD,2727,81,10,39.94,Low
Online Mental Health Support Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,1.74,10,3,9101529,0.66,9,AgriTech,Disruptive,Prototype,UG,628,17,6,22.37,Low
Sustainable Agriculture Analytics Tool,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,4.73,5,7,8470803,14.98,8,AgriTech,Disruptive,Idea,UG,3921,97,6,26.54,Low
Smart Healthcare Monitoring Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,4.86,10,3,5076287,14.15,4,AI,Disruptive,Idea,PG,683,31,10,37.35,Low
E-Learning Personalization Engine,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,4,1.83,6,2,8399111,23.23,9,HealthTech,Disruptive,Prototype,UG,522,80,6,26.65,Low
Digital Marketplace for Local Businesses,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,6,2.11,5,9,6712688,20.94,10,AgriTech,Incremental,MVP,PG,3613,1,1,11.41,Low
Smart Traffic Management System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,1,0.74,2,5,9082371,16.88,2,E-commerce,Incremental,Prototype,UG,4207,84,9,34.16,Low
Sustainable Agriculture Analytics Tool,A fitness application that tracks user activity and provides personalized workout and health recommendations.,4,4.3,5,4,6239084,4.94,4,AgriTech,Disruptive,Idea,PG,3803,20,2,10.09,Low
Online Mental Health Support Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,4.67,8,9,2972530,3.08,8,HealthTech,Incremental,Idea,PhD,3352,53,9,33.78,Low
Fitness Tracking and Recommendation App,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,3.24,3,4,7771418,8.11,6,HealthTech,Incremental,Idea,PG,2668,80,4,17.32,Low
Smart Traffic Management System,"An event management platform that automates planning, scheduling, and coordination of events.",4,2.89,9,6,5806023,1.19,4,FinTech,Incremental,Prototype,PhD,3590,46,7,26.66,Low
Online Event Management Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,3.51,7,3,7901943,23.04,10,E-commerce,Disruptive,Idea,UG,3669,82,6,27.25,Low
Smart Waste Management Solution,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,1.43,6,1,4590061,9.92,8,HealthTech,Disruptive,Prototype,UG,3302,64,9,32.36,Low
Automated Financial Advisory System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,4.43,3,2,5939701,9.58,4,AI,Incremental,MVP,PG,3847,42,3,13.26,Low
Online Event Management Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,3.19,8,3,3504403,17.26,2,HealthTech,Incremental,Prototype,PhD,4247,93,10,38.61,Low
Automated Financial Advisory System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,1.3,10,1,6807166,21.88,10,AI,Disruptive,Idea,PG,774,34,8,32.36,Low
AI Resume Screening Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,4.46,9,8,1477448,16.18,7,EdTech,Disruptive,MVP,PG,4242,100,9,37.34,Low
Sustainable Agriculture Analytics Tool,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,3,4.06,7,6,7002581,21.2,6,AI,Incremental,MVP,PG,3776,25,6,26.64,Low
Personalized Nutrition Recommendation System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,4,4.86,1,2,5522231,2.23,7,AI,Disruptive,Idea,PG,4545,80,4,14.95,Low
Fitness Tracking and Recommendation App,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,0.33,1,2,8756133,10.19,7,HealthTech,Incremental,Prototype,UG,1198,77,2,10.48,Low
AI Chatbot for Customer Service,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,4,3.22,1,5,4097040,7.89,6,AgriTech,Incremental,MVP,PG,1542,86,9,32.1,Low
Fitness Tracking and Recommendation App,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,0.26,7,5,9865147,1.32,4,AgriTech,Incremental,MVP,UG,2621,61,9,32.08,Low
E-Learning Personalization Engine,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,4.6,9,1,295160,18.83,2,HealthTech,Incremental,Prototype,UG,4756,14,2,13.05,Low
AI Resume Screening Tool,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,1.49,5,2,7966365,3.16,10,AgriTech,Incremental,Idea,PhD,1581,5,2,8.83,Low
Automated Financial Advisory System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,6,2.37,2,4,6580879,19.8,1,E-commerce,Incremental,Idea,PhD,3424,14,6,24.04,Low
AI Resume Screening Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,2.22,10,8,6938435,11.81,7,FinTech,Incremental,Idea,PG,4781,100,1,12.76,Low
AI-Based Crop Monitoring System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,0.7,8,8,6529483,11.05,7,AgriTech,Incremental,Prototype,PhD,3422,36,7,28.73,Low
Smart Waste Management Solution,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,4.26,2,2,4108683,22.06,4,HealthTech,Incremental,Prototype,UG,1310,38,1,9.37,Low
Personalized Nutrition Recommendation System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,6,3.45,8,6,4674965,2.59,2,EdTech,Disruptive,MVP,PhD,2054,40,10,35.52,Low
Online Mental Health Support Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,3.51,5,4,76856,11.67,4,AgriTech,Disruptive,MVP,UG,4417,93,5,21.89,Low
AI-Based Crop Monitoring System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,4.11,8,4,295083,7.45,3,HealthTech,Disruptive,Prototype,UG,604,59,5,21.27,Low
Blockchain-Powered Digital Payments,"An event management platform that automates planning, scheduling, and coordination of events.",1,2.23,2,7,6284142,8.2,8,AI,Incremental,MVP,PG,714,29,10,34.92,Low
AI-Based Crop Monitoring System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,1.87,9,3,7986266,4.83,3,E-commerce,Disruptive,Prototype,PG,410,55,3,14.67,Low
Automated Financial Advisory System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,3.63,8,5,7700794,17.13,3,EdTech,Incremental,MVP,PhD,677,95,8,33.23,Low
AI-Based Crop Monitoring System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,3.06,5,9,6414601,23.0,10,HealthTech,Incremental,Idea,UG,4994,77,2,16.34,Low
Smart Healthcare Monitoring Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,1.03,8,7,9961403,1.25,4,HealthTech,Incremental,Idea,UG,4111,51,10,35.77,Low
Cloud-Based Business Intelligence Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,2.85,1,5,9029180,4.2,3,EdTech,Disruptive,Idea,PhD,2222,44,8,27.52,Low
Autonomous Delivery Drone System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,1.66,5,3,3585538,7.7,4,EdTech,Incremental,Prototype,PhD,674,18,3,13.3,Low
Cloud-Based Business Intelligence Platform,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,4.26,5,8,5682256,17.73,2,HealthTech,Incremental,Idea,PG,2234,76,1,11.97,Low
Virtual Reality Learning Environment,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,3.75,9,6,2585805,0.78,6,HealthTech,Disruptive,Idea,PhD,2529,26,8,29.18,Low
IoT Smart Home Automation Solution,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,4.79,3,10,554808,8.16,3,EdTech,Incremental,Idea,UG,3915,15,6,23.83,Low
Blockchain-Powered Digital Payments,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,1.97,8,3,4845791,18.0,1,AgriTech,Incremental,Prototype,UG,3217,42,1,10.74,Low
IoT Smart Home Automation Solution,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,2.83,4,4,8931194,22.02,1,E-commerce,Disruptive,Prototype,UG,2968,42,5,22.64,Low
Personalized Nutrition Recommendation System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,1.86,9,1,5857513,23.69,1,E-commerce,Incremental,Prototype,PG,3031,5,6,25.84,Low
IoT Smart Home Automation Solution,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,4.79,7,1,7161926,22.45,5,AgriTech,Disruptive,Prototype,PG,1321,69,8,32.27,Low
Personalized Nutrition Recommendation System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,3.67,7,5,2945763,8.6,9,E-commerce,Incremental,Idea,PG,1821,86,8,31.04,Low
Cloud-Based Business Intelligence Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,3.89,4,7,1267460,22.15,7,AI,Disruptive,Idea,PhD,4192,71,9,36.15,Low
E-Learning Personalization Engine,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,2,1.36,10,2,9286125,18.9,3,EdTech,Incremental,MVP,PhD,2779,29,4,19.96,Low
Automated Financial Advisory System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,6,2.65,9,2,2210950,15.94,2,AI,Disruptive,Prototype,PhD,3226,22,10,36.93,Low
Smart Waste Management Solution,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,4.47,3,8,1592371,15.64,8,EdTech,Incremental,MVP,UG,3920,74,10,37.91,Low
Autonomous Delivery Drone System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,4.49,10,10,8092785,14.01,5,EdTech,Incremental,Idea,PhD,2083,46,7,30.72,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,3.83,2,8,5974415,5.74,9,FinTech,Incremental,Prototype,PG,4269,33,8,28.81,Low
AI Chatbot for Customer Service,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,4.1,9,10,8875062,13.37,10,HealthTech,Incremental,Idea,PG,1567,63,3,18.63,Low
Fitness Tracking and Recommendation App,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,0.0,2,10,9995410,20.88,1,HealthTech,Incremental,MVP,PhD,1186,53,4,20.84,Low
Blockchain-Powered Digital Payments,"An event management platform that automates planning, scheduling, and coordination of events.",3,4.78,6,4,5421272,0.17,9,HealthTech,Disruptive,Idea,PG,3754,74,2,10.51,Low
Automated Financial Advisory System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,1.74,2,5,2684638,16.54,4,E-commerce,Disruptive,Prototype,UG,4547,53,6,24.47,Low
Sustainable Agriculture Analytics Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,1.48,7,9,2785566,8.11,9,EdTech,Incremental,Idea,UG,4246,52,10,37.46,Low
AI-Based Crop Monitoring System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,2.16,2,1,4220381,21.73,4,EdTech,Disruptive,Idea,PhD,2628,14,5,20.53,Low
Smart Waste Management Solution,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,0.06,5,4,9400004,20.58,8,EdTech,Incremental,Prototype,UG,3799,35,5,22.52,Low
AI-Powered Fraud Detection System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,1.89,5,8,8806756,22.28,3,E-commerce,Disruptive,Idea,PhD,2997,89,4,22.14,Low
Personalized Nutrition Recommendation System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,2.35,3,1,5496965,18.99,9,E-commerce,Incremental,Prototype,PG,2434,18,5,20.36,Low
Virtual Reality Learning Environment,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,4.96,10,4,3258623,10.12,5,AI,Disruptive,Prototype,PG,680,53,8,31.28,Low
IoT Smart Home Automation Solution,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,1.51,3,3,684290,4.28,7,AI,Incremental,MVP,PhD,3574,92,3,13.5,Low
Smart Waste Management Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,3.67,3,3,7045438,11.4,4,AgriTech,Disruptive,Prototype,PhD,4242,42,1,7.92,Low
Blockchain-Powered Digital Payments,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,4,1.72,1,7,6048798,20.88,5,HealthTech,Disruptive,MVP,PhD,3509,13,4,18.84,Low
Smart Healthcare Monitoring Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,4.65,2,4,6086836,9.45,3,AgriTech,Disruptive,Idea,PhD,1306,34,4,16.37,Low
Digital Marketplace for Local Businesses,An AI-based fraud detection system that identifies suspicious financial activities in real time.,6,2.92,5,1,7609566,4.34,6,EdTech,Incremental,MVP,UG,68,27,4,15.21,Low
AI-Based Crop Monitoring System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,3.93,7,4,6393058,9.66,7,HealthTech,Disruptive,Prototype,PhD,2577,90,1,10.03,Low
AI Chatbot for Customer Service,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,4.6,8,6,5837056,24.72,5,FinTech,Disruptive,MVP,UG,2981,99,8,35.12,Low
Virtual Reality Learning Environment,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,3.81,4,2,8916136,17.48,8,AI,Incremental,Idea,PG,1358,51,2,12.32,Low
